date,price,market_cap,total_volume
2024-09-16,0.10298425066433739,15026207563.160406,451757527.75686216
2024-09-17,0.09969733835449002,14569234359.29782,572532231.5059034
2024-09-18,0.10116258433474547,14765475792.003166,497557516.67411953
2024-09-19,0.10350898134372043,15093679439.612532,601892209.9487275
2024-09-20,0.10508030512871451,15339835713.02121,715304616.8549877
2024-09-21,0.10538226685054741,15386106673.016905,657876273.5784175
2024-09-22,0.11015863162443498,16119101951.764608,559439682.2683911
2024-09-23,0.10631578048870015,15511905605.702595,535697266.3173823
2024-09-24,0.10821753654450904,15802862649.093723,682781465.8162605
2024-09-25,0.10978051565296383,16033328087.548908,790392652.6294596
2024-09-26,0.10851423298211875,15828058104.304785,782002414.9971523
2024-09-27,0.11814514127922089,17259884831.538918,1535242940.151961
2024-09-28,0.1238227688843178,18086523907.564518,1555101302.394238
2024-09-29,0.1288364038238975,18825075499.748528,1706567906.7285783
2024-09-30,0.12475967032593717,18237685842.994255,980842375.1104261
2024-10-01,0.11409373123635111,16668359315.555267,1119199764.7365375
2024-10-02,0.10714490765597601,15663199002.570282,1476122207.633925
2024-10-03,0.10465641885443355,15293474639.765978,949525283.9507754
2024-10-04,0.10503240487770349,15341812912.876862,972749810.1302891
2024-10-05,0.10928889300399085,15967882266.593582,764018435.1600564
2024-10-06,0.10955507475498369,16014067342.601536,451209519.61005574
2024-10-07,0.11143232086557313,16300599147.425789,510711345.8873673
2024-10-08,0.10888942663944362,15928664980.80216,987438812.0499407
2024-10-09,0.10711482791639114,15680331561.502308,698426563.3874706
2024-10-10,0.10794073191121138,15802883226.690445,725437336.6353363
2024-10-11,0.10595271088673729,15492666165.802343,676009910.8249433
2024-10-12,0.11075973120839307,16205592120.10208,608660396.4089402
2024-10-13,0.1113879149202278,16295803424.838173,471712432.5463746
2024-10-14,0.1113381787454164,16284359144.011297,501221749.1240856
2024-10-15,0.11654636005586289,17054185512.622272,1038482566.7730004
2024-10-16,0.11714973577171232,17136054607.44054,1448755420.1277294
2024-10-17,0.12568987094844378,18366468454.350346,2441500479.075099
2024-10-18,0.1290318879198742,18872749092.612045,1610404036.3026013
2024-10-19,0.1373828663699262,20117473887.347134,2352278280.0010424
2024-10-20,0.14481683811600587,21205835020.113136,1943678426.853672
2024-10-21,0.1417955596779323,20743960127.806,1450399760.2238953
2024-10-22,0.14367938444457554,21042404416.179592,2135857422.7542772
2024-10-23,0.13950663609651373,20427910912.025658,1786553786.9237838
2024-10-24,0.13989987665552944,20469081859.33588,1492331848.7752898
2024-10-25,0.1421233225388425,20800093125.406723,1490511268.4353406
2024-10-26,0.13052166779612556,19058280731.50005,1555982996.705227
2024-10-27,0.1374382944976871,20129644552.18132,1007254067.9991432
2024-10-28,0.14426417044511727,21151514398.147987,1185789527.4866672
2024-10-29,0.1610750096019228,23603211883.92649,3547034012.2714276
2024-10-30,0.17621839911910786,25822005647.19393,4328291559.706245
2024-10-31,0.16841352960298442,24707320750.155575,2609541210.2799463
2024-11-01,0.16161157386392275,23703025112.153557,2433162762.1835318
2024-11-02,0.1592929577355371,23336035423.926025,2384334083.6126504
2024-11-03,0.15931442661099204,23352486974.02465,1497134113.918328
2024-11-04,0.1519727008143906,22296473359.067554,2539631782.021095
2024-11-05,0.1581515101721086,23136432202.320007,2934227322.746805
2024-11-06,0.17016389715992922,24951189158.885117,4722717269.39245
2024-11-07,0.19605447298033848,28735301613.88231,13964396580.982435
2024-11-08,0.19318735961279923,28332556747.31005,5023759022.790759
2024-11-09,0.20201615296993558,29637362068.002758,4762859227.42924
2024-11-10,0.21781216980037166,31981027590.244354,5124130776.036058
2024-11-11,0.27784396474944806,40497543446.61056,17922592739.470116
2024-11-12,0.34813435852166763,51066599516.303665,23002869379.97055
2024-11-13,0.3863520490278735,56649929137.31771,45647590496.22071
2024-11-14,0.39947694403435763,58769507338.095215,33764060390.327175
2024-11-15,0.362206396833341,52855654310.550644,17394397997.80318
2024-11-16,0.3783105880220168,55541231337.39227,14263596086.931938
2024-11-17,0.36405554021536696,53253558387.73447,9205954824.33035
2024-11-18,0.36707674107673377,53890781808.26239,9784068444.010353
2024-11-19,0.3723193454668548,54665315542.00563,8956521463.269907
2024-11-20,0.39155732311595115,57498282424.86561,15683020455.352236
2024-11-21,0.3788259944714756,55653383515.17941,9823247879.4612
2024-11-22,0.3875057581200171,56919881492.936646,9437714466.947334
2024-11-23,0.41071496052804074,60319726909.20217,15763705369.107473
2024-11-24,0.42958842822505655,63045394020.14091,24615656526.251476
2024-11-25,0.42986139070108076,63176287457.58791,14194998723.10986
2024-11-26,0.39278774199281596,57583371937.660904,10991675836.364794
2024-11-27,0.38570606921820494,56535824119.87761,10352541749.38322
2024-11-28,0.40210599150633014,59099452113.78289,7575329620.039413
2024-11-29,0.4021738343338388,59119897219.069695,6881415591.797313
2024-11-30,0.42589893402880247,62510376387.89632,7204905118.668185
2024-12-01,0.4219026659956098,62045544716.78655,6694741285.598611
2024-12-02,0.44108781303646266,64771023380.96672,8422395747.703863
2024-12-03,0.42405045756614346,62337140722.912895,14905269533.2319
2024-12-04,0.40914646603543636,60140826094.70261,8839146109.799376
2024-12-05,0.4294319629835894,63106207194.10425,9655017662.13735
2024-12-06,0.42913177925717433,63027229179.29723,18019186820.61109
2024-12-07,0.43569429743752,64021771536.23062,7529153953.033535
2024-12-08,0.4542043314711241,66813977851.84679,8438594527.802239
2024-12-09,0.4665030913917874,68588817015.837105,10403917176.241884
2024-12-10,0.4140315464336743,60872744858.539894,14335180806.342701
