date,price,market_cap,total_volume
2024-09-16,553.5317684437828,80738379011.58696,739957732.7569236
2024-09-17,534.0307828642058,77951289168.31566,1185987916.239536
2024-09-18,545.8591557817873,79651662029.65852,749799587.5539025
2024-09-19,559.2622033756663,81414364603.32365,800863109.7515539
2024-09-20,565.7226434773531,82508263052.88373,1072294555.0654228
2024-09-21,568.1419699696063,82865805726.7333,749877887.8963493
2024-09-22,589.1278971088337,86060631709.70407,596782454.4087572
2024-09-23,588.0008491467103,85792747967.27962,610149903.8468648
2024-09-24,604.2907205092504,88128290233.23134,1300885128.817108
2024-09-25,606.3196193639224,88472367696.05081,785716722.9769592
2024-09-26,587.4528459687532,85624136607.39825,869908503.6015983
2024-09-27,596.6500568684918,87077034857.04509,1166805206.001594
2024-09-28,608.5326765533662,88777861760.9806,1210015212.5003896
2024-09-29,601.8844621885047,87827034865.21294,930036415.1687939
2024-09-30,596.6124622623387,87052731975.43872,649177025.9413755
2024-10-01,566.6132996895035,82687696155.70758,844868785.4516878
2024-10-02,547.6662085850359,79897582813.02779,1303622283.1272783
2024-10-03,542.1361610816159,79089065108.12651,962211853.2679341
2024-10-04,543.9268634322848,79356570336.31575,717224492.2556725
2024-10-05,555.7319512863536,81042254268.0583,642933307.385025
2024-10-06,563.0576257615133,82114177423.76372,398503138.46767455
2024-10-07,570.3887106812168,83265317975.27345,460824875.58197916
2024-10-08,564.5530144089458,82362634345.85994,822476319.5850166
2024-10-09,580.5834563804233,84738393992.16469,812293173.272375
2024-10-10,570.4233445375069,83220162034.19997,1120320879.4039862
2024-10-11,562.2876092184791,82021809492.13783,666418337.8417825
2024-10-12,572.6973782181188,83546567873.48314,726487414.3748224
2024-10-13,576.4218063678553,84061595901.47354,514250584.25048655
2024-10-14,572.0464555145396,83416290893.81396,504380355.1480061
2024-10-15,588.7145782741194,85928412504.44931,922914192.4897503
2024-10-16,593.7859585166118,86636583192.31186,1133724407.1369383
2024-10-17,600.7171299370192,87633144279.6967,941867678.3498796
2024-10-18,592.06562034803,86333076752.49678,727488240.0562967
2024-10-19,599.7937020052995,87513331879.36797,620458607.0386341
2024-10-20,598.0584515713127,87250625179.78609,366372731.7293214
2024-10-21,604.7364465668796,88195432727.09534,403326085.94190884
2024-10-22,598.8441916110455,87325520925.89667,729415389.1626027
2024-10-23,593.2537357882547,86532749174.40143,793524643.3617057
2024-10-24,584.5160075603742,85255197630.47481,784000933.3228502
2024-10-25,594.325893184941,86710819325.42433,644617281.7623655
2024-10-26,573.5027977179195,83449711140.45877,881784218.7704451
2024-10-27,582.7002844268627,85017771621.24681,522130327.4992685
2024-10-28,588.3466587883522,85827006527.09506,441842652.54891616
2024-10-29,600.2951565105121,87554214286.16765,644392069.212074
2024-10-30,605.9923660648295,88414948715.28604,1073038597.5710328
2024-10-31,595.7628311131087,86969500510.24303,850312506.2658379
2024-11-01,575.5827350716986,84000613909.2605,1036949641.1860024
2024-11-02,572.9178309294414,83572294995.76315,893454861.8709445
2024-11-03,568.1788705867822,82889818185.21948,613502646.373791
2024-11-04,557.9719388092819,81477370371.82082,807471288.4620364
2024-11-05,552.0002698236904,80509315395.44171,876900503.1809891
2024-11-06,563.1815855751432,82160078279.30705,782468123.611863
2024-11-07,591.1691503275006,86248682357.26794,1832779153.4980664
2024-11-08,598.6118114741502,87331183563.1823,1140184047.2747588
2024-11-09,598.0540120171064,87226205424.11293,1097148719.9339457
2024-11-10,623.0345147169824,91086187582.46587,2289560529.6535926
2024-11-11,628.4982208915301,91619975451.01256,2637125258.8770103
